#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
2.619998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.629998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.639998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.649998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.659998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.669998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.679998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.689998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.699998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.709998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.719998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.729998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.739998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.749998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.759998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.769998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.779998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.789998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.799998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.809998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.819998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.829998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.839998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.849998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.859998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.869998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.879998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.889998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.899998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
